,level_0,Unnamed: 0,index,team_name,team_id,color,logo,team_location
51,51,51,52,IU,84,#990000,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,Indiana
52,52,52,53,OSU,194,#ce1141,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,Ohio State
53,53,53,54,ALA,333,#9e1632,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,Alabama
54,54,54,55,MTSU,2393,#006db6,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,Middle Tennessee
55,55,55,57,NEV,2440,#002d62,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,Nevada
56,56,56,58,PSU,213,#00265D,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,Penn State
57,57,57,59,WVU,277,#002855,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,West Virginia
58,58,58,60,WASH,264,#33006f,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,Washington
59,59,59,61,BOIS,68,#0033a0,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,Boise State
60,60,60,62,TEX,251,#c15d26,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,Texas
61,61,61,63,RICE,242,#d1d5d8,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,Rice
62,62,62,64,TENN,2633,#ff8200,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee
63,63,63,65,UVA,258,#232d4b,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,Virginia
64,64,64,67,TNST,2634,#171796,https://a.espncdn.com/i/teamlogos/ncaa/500/2634.png,Tennessee State
65,65,65,68,ORE,2483,#007030,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,Oregon
66,66,66,69,PRST,2502,#00311e,https://a.espncdn.com/i/teamlogos/ncaa/500/2502.png,Portland State
67,67,67,70,KSU,2306,#3c0969,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,Kansas State
68,68,68,71,SEMO,2546,#c8102e,https://a.espncdn.com/i/teamlogos/ncaa/500/2546.png,Southeast Missouri State
69,69,69,72,TCU,2628,#4d1979,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,TCU
70,70,70,73,COLO,38,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,Colorado
71,71,71,74,WIS,275,#c4012f,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin
72,72,72,75,BUFF,2084,#041A9B,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,Buffalo
73,73,73,76,OU,201,#a32036,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,Oklahoma
74,74,74,77,ARST,2032,#e81018,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,Arkansas State
